condition,run,model,triples_seen_in_training,frequency
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('s', 's', 's')",882
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
50L_50NL,2,50L_50NL_2_4,"('m', 'm', 'm')",1057
